AGENT_CODE,GAM_CODE,AGENT_JOIN_YEAR,REGION_NAME,AFYP_Regular,AFYP_exclude_RTU,Cases,Average_Case_Size
1EI06319,1EI06359,2019,ETIQA ENTREPRENEURSHIP PROGRAM-EEP,31000,29560,13,2384.615385
1EI06340,1EI06340,2020,CENTRAL REGION,16980,16980,6,2830
1EI06346,1EI00102,2020,SARAWAK REGION ,4800,4800,3,1600
1EI06352,1EI06352,2020,CENTRAL REGION,2006060,44780,8,250757.5
1EI06359,1EI06359,2020,CENTRAL REGION,7200,7200,3,2400
1EI06360,1EI00102,2020,SARAWAK REGION ,6780,5220,3,2260
1EI06362,1EI06362,2020,SABAH REGION ,429807.1,298047.1,15,28653.80667
1EI06369,1EI04998,2020,NORTHERN REGION,27920,27920,3,9306.666667
1EI06374,1EI06372,2020,CENTRAL REGION,41400,41400,10,4140
1EI06375,1EI06199,2020,KL REGION,570060,534900,28,20359.28571
1EI06389,1EI00100,2020,SABAH REGION ,10275.6,9435.6,5,2055.12
1EI06392,1EI06778,2020,SABAH REGION ,36240,36240,10,3624
1EI06402,1EI04998,2020,EAST COAST REGION,140760,140760,28,5027.142857
1EI06408,1EI00071,2020,KL REGION,4380,4380,2,2190
1EI06413,1EI06199,2020,KL REGION,483540,481860,23,21023.47826
1EI06418,1EI00102,2020,SARAWAK REGION ,14760,14040,7,2108.571429
1EI06419,1EI00079,2020,SABAH REGION ,12000,11400,5,2400
1EI06421,1EI00105,2020,NORTHERN REGION,26400,26400,12,2200
1EI06422,1EI06372,2020,CENTRAL REGION,301200,1200,1,301200
1EI06424,1EI06372,2020,CENTRAL REGION,6000,5400,1,6000
1EI06429,1EI06778,2020,SABAH REGION ,47160,34800,7,6737.142857
1EI06440,1EI06199,2020,KL REGION,485820,471540,27,17993.33333
1EI06448,1EI06372,2020,CENTRAL REGION,30420,30420,6,5070
1EI06479,1EI00254,2020,NORTHERN REGION,4800,3600,1,4800
1EI06490,1EI00051,2020,SOUTHERN REGION ,17556,17556,7,2508
1EI06499,1EI06372,2020,CENTRAL REGION,344580,16740,5,68916
1EI06503,1EI06199,2020,KL REGION,4440,4200,2,2220
1EI06508,1EI06199,2020,KL REGION,360780,356340,16,22548.75
1EI06510,1EI04998,2020,EAST COAST REGION,2760,2760,1,2760
1EI06531,1EI06531,2020,EAST COAST REGION,180898.44,177418.44,27,6699.942222
1EI06533,1EI06531,2020,EAST COAST REGION,4680,4680,2,2340
1EI06538,1EI06538,2020,EAST COAST REGION,3360,3360,1,3360
1EI06541,1EI00102,2020,SARAWAK REGION ,8666,7226,4,2166.5
1EI06543,1EI06784,2020,SOUTHERN REGION ,147600,129840,16,9225
1EI06545,1EI06784,2020,SOUTHERN REGION ,169440,164640,21,8068.571429
1EI06549,1EI00083,2020,SARAWAK REGION ,39627.12,39507.12,17,2331.007059
1EI06552,1EI06372,2020,CENTRAL REGION,24840,24840,6,4140
1EI06553,1EI06531,2020,EAST COAST REGION,14175.48,14175.48,5,2835.096
