AGENT_CODE,GAM_CODE,AGENT_JOIN_YEAR,REGION_NAME,AFYP_Regular,AFYP_exclude_RTU,Cases,Average_Case_Size
1EI07132,1EI00231,2022,SOUTHERN REGION ,118080,117960,58,2035.862069
1EI07137,1EI00102,2022,SARAWAK REGION ,41660,40220,14,2975.714286
1EI07138,1EI06778,2022,SABAH REGION ,15400,14800,4,3850
1EI07139,1EI06778,2022,SABAH REGION ,15694.08,15694.08,4,3923.52
1EI07140,1EI00051,2022,NORTHERN REGION,27840,27840,12,2320
1EI07145,1EI06531,2022,EAST COAST REGION,36474.88,36474.88,9,4052.764444
1EI07146,1EI06778,2022,SABAH REGION ,8160,8160,3,2720
1EI07148,1EI06199,2022,KL REGION,16200,15600,4,4050
1EI07149,1EI06778,2022,SABAH REGION ,3000,3000,1,3000
1EI07150,1EI06778,2022,SARAWAK REGION ,3120,3120,1,3120
1EI07151,1EI06778,2022,SOUTHERN REGION ,14040,13800,5,2808
1EI07152,1EI00102,2022,SARAWAK REGION ,12720,12720,7,1817.142857
1EI07154,1EI06359,2022,CENTRAL REGION,7200,7200,3,2400
1EI07155,1EI00105,2022,NORTHERN REGION,4680,4440,2,2340
1EI07156,1EI00102,2022,SARAWAK REGION ,33960,32520,13,2612.307692
1EI07161,1EI00133,2022,NORTHERN REGION,36840,35400,8,4605
1EI07162,1EI00079,2022,SABAH REGION ,23256,14856,6,3876
1EI07165,1EI04998,2022,EAST COAST REGION,14880,13680,5,2976
1EI07167,1EI06199,2022,KL REGION,456400,422440,19,24021.05263
1EI07169,1EI06199,2022,KL REGION,58560,58560,5,11712
1EI07172,1EI05836,2022,CENTRAL REGION,15240,15240,4,3810
1EI07173,1EI00079,2022,SABAH REGION ,6120,6120,3,2040
1EI07174,1EI00071,2022,KL REGION,9720,9720,4,2430
1EI07175,1EI00102,2022,SARAWAK REGION ,12600,12000,4,3150
1EI07176,1EI06778,2022,SABAH REGION ,2400,2400,1,2400
1EI07177,1EI06531,2022,EAST COAST REGION,39381,39381,5,7876.2
1EI07178,1EI06778,2022,SABAH REGION ,6120,6000,2,3060
1EI07179,1EI06531,2022,EAST COAST REGION,56244.84,50364.84,6,9374.14
1EI07180,1EI06778,2022,SABAH REGION ,4957.56,4957.56,1,4957.56
1EI07188,1EI00051,2022,NORTHERN REGION,4800,4800,2,2400
